vote date,original question,original question,coded options
1846-12-17 00:00:00,"TO ELECT A CHAPLAIN OF THE HOUSE, SPROLE ID CODED 1, DEWEY IS CODED 2, TINSLEY IS CODED 5, OTHER CANDIDATES ARE CODED 8.",TO ELECT A CHAPLAIN OF THE HOUSE.,1:SPROLE;2:DEWEY;5:TINSLEY;8:OTHER CANDIDATES
1847-12-06 00:00:00,"TO ELECT A SPEAKER.  VOTES FOR ROBERT WINTHROP ARE CODED 1; FOR LINN BOYD, 2; FOR MC CLELLAND, 5; FOR MC CLERNAND, 6; ALL OTHERS, 8.",TO ELECT A SPEAKER.,1:ROBERT WINTHROP;2:LINN BOYD;5:MC CLELLAND;6:MC CLERNAND;8:ALL OTHERS
1847-12-06 00:00:00,"TO ELECT A SPEAKER.  VOTES FOR ROBERT WINTHROP ARE CODED 1; FOR LINN BOYD, 2; FOR MC CLELLAND, 5; FOR MC CLERNAND, 6; ALL OTHERS, 8.",TO ELECT A SPEAKER.,1:ROBERT WINTHROP;2:LINN BOYD;5:MC CLELLAND;6:MC CLERNAND;8:ALL OTHERS
1847-12-06 00:00:00,"TO ELECT A SPEAKER.  VOTES FOR ROBERT WINTHROP ARE CODED 1, FOR LINN BOYD, 2, FOR MC CLELLAND, 5, FOR MC CLERNAND, 6, FOR OTHERS, 8.",TO ELECT A SPEAKER.,1:ROBERT WINTHROP;2:LINN BOYD;5:MC CLELLAND;6:MC CLERNAND;8:OTHERS
1847-12-07 00:00:00,"TO ELECT A CLERK.  VOTES FOR CAMPBELL ARE CODED 1; FOR FRENCH, 2; FOR OTHERS 5.",TO ELECT A CLERK.,1:CAMPBELL;2:FRENCH;5:OTHERS
1847-12-08 00:00:00,"TO ELECT A POSTMASTER.  VOTES FOR MC CORMICK ARE CODED 1; FOR JOHNSON, 2.",TO ELECT A POSTMASTER.,1:MC CORMICK;2:JOHNSON
1847-12-08 00:00:00,"TO ELECT A SERGEANT-AT-ARMS.  VOTES FOR SERGEANT ARE CODED 1; FOR LANE, 2; FOR WHITNEY, 5.",TO ELECT A SERGEANT-AT-ARMS.,1:SERGEANT;2:LANE;5:WHITNEY
1847-12-08 00:00:00,"TO ELECT A DOORKEEPER.  VOTES FOR HORNER ARE CODED 1; FOR WHITNEY, 2.",TO ELECT A DOORKEEPER.,1:HORNER;2:WHITNEY
1847-12-14 00:00:00,"TO ELECT A CHAPLAIN.  VOTES FOR GURLEY ARE CODED 1; FOR CUSHMAN, 2.",TO ELECT A CHAPLAIN.,1:GURLEY;2:CUSHMAN
1847-12-14 00:00:00,"TO ELECT A CHAPLAIN.  VOTES FOR GURLEY ARE CODED 1; FOR CUSHMAN, 2; FOR MC JILTON, 5; FOR DEWEY, 6; FOR REESE, 7.",TO ELECT A CHAPLAIN.,1:GURLEY;2:CUSHMAN;5:MC JILTON;6:DEWEY;7:REESE
1847-12-14 00:00:00,"TO ELECT A CHAPLAIN.  VOTES FOR GURLEY ARE CODED 1; FOR CUSHMAN, 2; FOR DEWEY, 5; FOR REESE, 6; FOR MC JILTON, 7.",TO ELECT A CHAPLAIN.,1:GURLEY;2:CUSHMAN;5:DEWEY;6:REESE;7:MC JILTON
1848-08-14 00:00:00,"TO ELECT A CHAPLAIN.  VOTES FOR GURLEY ARE CODED 1; FOR DEWEY, 2; FOR CUSHMAN, 5.",TO ELECT A CHAPLAIN.,1:GURLEY;2:DEWEY;5:CUSHMAN
1851-12-01 00:00:00,"TO ELECT A CLERK OF THE HOUSE, JOHN FARNEY CODED 1,.",TO ELECT A CLERK OF THE HOUSE.,1:JOHN FARNEY 
1851-12-01 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE, LINN BOYD (DEM. KY.) CODED 1, EDWARD STANLY (WIG, N.C.) CODED 2, JOSEPH CHANDLER (WHIG, PA.) CODED 5, THADDEUS STEVENS (WHIG, PA.) CODED 6, OTHERS CODED 8.",TO ELECT A SPEAKER OF THE HOUSE.,"1:LINN BOYD (DEM. KY.);2:EDWARD STANLY (WIG, N.C.);5:JOSEPH CHANDLER (WHIG, PA.);6:THADDEUS STEVENS (WHIG, PA.);8:OTHERS"
1851-12-09 00:00:00,"TO ELECT A CHAPLAIN, REV. R. GURLEY CODED 1, REV. L. MORGAN CODED 2, REV. R. CUSHMAN CODED 5, OTHERS CODED 8.",TO ELECT A CHAPLAIN.,1:REV. R. GURLEY;2:REV. L. MORGAN;5:REV. R. CUSHMAN;8:OTHERS
1851-12-09 00:00:00,"TO ELECT A CHAPLAIN, REV. R. GURLEY CODED 1, REV. L. MORGAN CODED 2, REV. R. CUSHMAN CODED 5, REV. J. GALLAGHER CODED 6, OTHERS CODED 8.",TO ELECT A CHAPLAIN.,1:REV. R. GURLEY;2:REV. L. MORGAN;5:REV. R. CUSHMAN;6:REV. J. GALLAGHER;8:OTHERS
1851-12-09 00:00:00,"TO ELECT A CHAPLAIN, REV. R. GURLEY CODED 1, REV. L. MORGAN CODED 2, OTHERS CODED 8.",TO ELECT A CHAPLAIN.,1:REV. R. GURLEY;2:REV. L. MORGAN;8:OTHERS
1851-12-09 00:00:00,"TO ELECT A CHAPLAIN, REV. R. GURLEY CODED 1, REV. L. MORGAN CODED 2, REV. R. CUSHMAN CODED 5, REV. J. GALLAGHER CODED 6, OTHERS CODED 8.",TO ELECT A CHAPLAIN.,1:REV. R. GURLEY;2:REV. L. MORGAN;5:REV. R. CUSHMAN;6:REV. J. GALLAGHER;8:OTHERS
1852-08-27 00:00:00,"TO ELECT A PUBLIC PRINTER, ROBERT ARMSTRONG CODED 1, JOHN TOWERS CODED 2, GALES AND SEATON CODED 5, GEORGE GIDEON CODED 6, OTHER CANDIDATES CODED 8.",TO ELECT A PUBLIC PRINTER.,1:ROBERT ARMSTRONG;2:JOHN TOWERS;5:GALES AND SEATON;6:GEORGE GIDEON;8:OTHER CANDIDATES
1852-12-07 00:00:00,"TO ELECT A CHAPLAIN OF THE HOUSE, REV. JAMES GALLAGHER CODED 1, REV. L.F. MORGAN CODED 2, REV. R.R. GURLEY CODED 5, REV. R.W. CUSHMAN CODED 6, OTHER CANDIDATES CODED 8.",TO ELECT A CHAPLAIN OF THE HOUSE.,1:REV. JAMES GALLAGHER;2:REV. L.F. MORGAN;5:REV. R.R. GURLEY;6:REV. R.W. CUSHMAN;8:OTHER CANDIDATES
1853-12-05 00:00:00,"TO ELECT A CLERK OF THE HOUSE FOR THE 33RD CONGRESS, JOHN FORNEY, CODED 1, VERSUS RICHARD YOUNG, CODED 2. VOTES FOR P. TRINDLE ARE CODED 5, FOR E. HUTCHINSON, 6. VOTES FOR OTHERS ARE CODED 8.",TO ELECT A CLERK OF THE HOUSE FOR THE 33RD CONGRESS.,1:JOHN FORNEY;2:RICHARD YOUNG;5:P. TRINDLE;6:E. HUTCHINSON;8:OTHERS
1853-12-05 00:00:00,"TO ELECT A SPEAKER OF THE 33RD HOUSE, L. BOYD (DEM), CODED 1, VERSUS JOS. CHANDLER (WHIG) CODED 2.  VOTES FOR L. CAMPBELL, (WHIG) ARE CODED 5, FOR P. ERVING (WHIG) ARE CODED 6.",TO ELECT A SPEAKER OF THE 33RD HOUSE.,"1:L. BOYD (DEM);2:JOS. CHANDLER (WHIG);5:L. CAMPBELL, (WHIG);6:P. ERVING (WHIG)"
1853-12-07 00:00:00,"TO ELECT A CHAPLAIN FOR THE HOUSE OF REPRESENTATIVES, VOTES FOR REV. TUSTIN ARE CODED 1, FOR THE REV. MILBURN ARE CODED 2, FOR THE REV. TEASDALE ARE CODED 5.",TO ELECT A CHAPLAIN FOR THE HOUSE OF REPRESENTATIVES.,1:REV. TUSTIN;2:REV. MILBURN;5:REV. TEASDALE
1853-12-07 00:00:00,"SECOND VOTE FOR CHAPLAIN OF THE HOUSE OF REPRESENTATIVES. VOTES FOR REV. MILBURN ARE CODED 1, FOR REV. TUSTIN 2, FOR REV. TEASDALE, 5, FOR OTHERS, 8.",SECOND VOTE FOR CHAPLAIN OF THE HOUSE OF REPRESENTATIVES.,1:REV. MILBURN;2:REV. TUSTIN;5:REV. TEASDALE;8:OTHERS
1853-12-07 00:00:00,"TO ELECT A PRINTER FOR THE HOUSE OF REPRESENTATIVES.  VOTES FOR ARMSTRONG ARE CODED 1, FOR GALES AND SEATON 2, FOR TUCKER, 5, FOR OTHERS, 8.",TO ELECT A PRINTER FOR THE HOUSE OF REPRESENTATIVES.,1:ARMSTRONG;2:GALES AND SEATON;5:TUCKER;8:OTHERS
1854-03-01 00:00:00,"TO ELECT A PUBLIC PRINTER FOR THE HOUSE OF REPRESENTATIVES VOTES FOR MAJOR A. O. P. NICHOLSON ARE CODED 1, FOR JOSEPH GALES, 2, FOR OTHERS, 8.",TO ELECT A PUBLIC PRINTER FOR THE HOUSE OF REPRESENTATIVES.,1:MAJOR A. O. P. NICHOLSON;2:JOSEPH GALES;8:OTHERS
1856-02-02 00:00:00,"TO ELECT A SPEAKER.  VOTES FOR NATHANIAL BANKS ARE CODED 1, FOR W. AIKEN, 2, FOR HENRY FULLER, 5, FOR LEWIS CAMPBELL AND FOR DANIEL WELLS, 7.",TO ELECT A SPEAKER.,1:NATHANIAL BANKS;2:W. AIKEN;5:HENRY FULLER;5:LEWIS CAMPBELL;7:DANIEL WELLS
1856-12-22 00:00:00,"TO ELECT A CHAPLAIN.  VOTES FOR WALDO ARE CODED 1, FOR MOORE 2, FOR GURLEY, 5, FOR DOGGETT, 6, FOR STOCKTON, AND FOR ALL OTHERS, 8.",TO ELECT A CHAPLAIN.,1:WALDO;2:MOORE;5:GURLEY;6:DOGGETT;6:STOCKTON;8:ALL OTHERS
1857-12-07 00:00:00,"TO ELECT A DOORKEEPER.  VOTES FOR ROBERT B. HACKNEY ARE CODED AS 1; FOR NATHAN DARLING, AS 2.",TO ELECT A DOORKEEPER.,1:ROBERT B. HACKNEY;2:NATHAN DARLING
